race,year,total_laps,pit_loss,greedy_time,ga_mean,ga_std,ga_best,improvement_mean,improvement_std,improvement_best
Bahrain Grand Prix,2024,57,24.69999999999999,5214.114000000001,5199.628000000001,0.0,5199.628000000001,14.486000000000786,0.0,14.486000000000786
Saudi Arabian Grand Prix,2024,50,20.236999999999995,4625.622005166769,4658.111364768507,0.0,4658.111364768507,-32.489359601738215,0.0,-32.489359601738215
Australian Grand Prix,2024,57,20.53,4951.95211070111,5008.884701107013,0.0,5008.884701107013,-56.932590405903284,0.0,-56.932590405903284
Japanese Grand Prix,2024,53,22.667500000000018,4843.827500000001,4830.9745,0.0,4830.9745,12.853000000000975,0.0,12.853000000000975
Chinese Grand Prix,2024,56,24.833,5122.0430000000015,5108.013000000001,0.0,5108.013000000001,14.030000000000655,0.0,14.030000000000655
Miami Grand Prix,2024,57,21.11099999999999,5210.5250000000015,5206.525,0.0,5206.525,4.000000000001819,0.0,4.000000000001819
Emilia Romagna Grand Prix,2024,63,27.98400000000001,5363.029733333336,5459.464711111111,2.6891319487942575,5456.475399999998,-96.4349777777743,2.6891319487942575,-93.44566666666287
Monaco Grand Prix,2024,78,18.772999999999996,6071.757630606798,6078.454483427607,9.094947017729282e-13,6078.454483427608,-6.696852820809909,0.0,-6.696852820809909
Canadian Grand Prix,2024,70,20.446500000000015,6422.143000000001,6388.103,0.0,6388.103,34.04000000000087,0.0,34.04000000000087
Spanish Grand Prix,2024,66,22.899999999999977,6065.720000000001,6025.670999999999,9.094947017729282e-13,6025.671,40.04900000000089,0.0,40.04900000000089
Austrian Grand Prix,2024,71,21.158500000000004,6514.162,6480.715,0.0,6480.715,33.447000000000116,0.0,33.447000000000116
British Grand Prix,2024,52,36.79150000000001,4766.115500000001,4753.586499999999,0.0,4753.586499999999,12.52900000000136,0.0,12.52900000000136
Hungarian Grand Prix,2024,70,20.884500000000003,6021.1074288242235,4710.400193246362,0.0,4710.400193246362,1310.7072355778619,0.0,1310.7072355778619
Belgian Grand Prix,2024,44,19.43900000000002,4017.0390000000007,4005.624,0.0,4005.624,11.415000000000873,0.0,11.415000000000873
Dutch Grand Prix,2024,72,23.503000000000014,6609.239000000002,6576.600000000001,9.094947017729282e-13,6576.6,32.63900000000194,0.0,32.63900000000194
Italian Grand Prix,2024,53,25.931999999999988,4847.0920000000015,4834.239,0.0,4834.239,12.853000000001884,0.0,12.853000000001884
Azerbaijan Grand Prix,2024,50,22.692000000000007,4568.603000000002,4556.566,0.0,4556.566,12.037000000002081,0.0,12.037000000002081
Singapore Grand Prix,2024,62,30.525000000000006,5682.4540000000015,5664.835,0.0,5664.835,17.619000000001506,0.0,17.619000000001506
United States Grand Prix,2024,56,21.952499999999986,5119.162500000001,5105.1325,0.0,5105.1325,14.030000000001564,0.0,14.030000000001564
Mexico City Grand Prix,2024,71,24.519499999999994,6520.884000000001,6487.437000000001,9.094947017729282e-13,6487.437,33.447000000001026,0.0,33.447000000001026
São Paulo Grand Prix,2024,69,43.51400000000001,6377.798000000001,6323.254000000001,0.0,6323.254000000001,54.54399999999987,0.0,54.54399999999987
Las Vegas Grand Prix,2024,50,23.341999999999985,4569.2530000000015,4557.216,0.0,4557.216,12.037000000001171,0.0,12.037000000001171
Qatar Grand Prix,2024,57,30.319500000000005,5022.568987043424,5052.717592697246,0.0,5052.717592697246,-30.148605653821505,0.0,-30.148605653821505
Abu Dhabi Grand Prix,2024,58,23.617500000000007,5283.2087073969515,5257.529276228119,0.0,5257.529276228119,25.679431168832707,0.0,25.679431168832707
